Abstract,Label
"A human Lactobacillus strain (Lactobacillus casei sp strain GG) promotes recovery from acute diarrhea in children. To determine the effect of a human Lactobacillus strain (Lactobacillus casei sp strain GG, Gefilac) on recovery from acute diarrhea (82% rotavirus), 71 well-nourished children between 4 and 45 months of age were studied. After oral rehydration, the patients randomly received either Lactobacillus GG-fermented milk product, 125 g (10(10-11) colony-forming units) twice daily (group 1); Lactobacillus GG freeze-dried powder, one dose (10(10-11) colony-forming units) twice daily (group 2); or a placebo, a pasteurized yogurt (group 3) 125 g twice daily; each diet was given for 5 days, in addition to normal full diet otherwise free of fermented dairy products. The mean (SD) duration of diarrhea after commencing the therapy was significantly shorter in group 1 (1.4 [0.8] days) and in group 2 (1.4 [0.8] days) than in group 3 (2.4 [1.1] days); F = 8.70, P less than 0.001. After rehydration, each dietary group maintained a positive weight trend. The urinary lactulose-mannitol recovery ratios (means [95% confidence intervals]) on admission were 0.09 (0.03, 0.24) in group 1, 0.12 (0.07, 0.22) in group 2, and 0.08 (0.04, 0.18) in group 3; no significant alterations in intestinal permeability were observed at retesting after 2 days of realimentation. The result indicates that early nutritional repletion after rehydration causes no mucosal disruption and is beneficial for recovery from diarrhea. It is further suggested that Lactobacillus GG in the form of fermented milk or freeze-dried powder is effective in shortening the course of acute diarrhea.",Virus_Diseases
"Changes in plasma high density lipoprotein cholesterol and phospholipid in acute viral hepatitis and cholestatic jaundice. Forty-four male and female subjects aged 22-57 years were studied. Thirteen patients had acute viral hepatitis, and eleven patients had cholestatic jaundice due to carcinoma of the head of the pancreas. Twenty healthy volunteers who served as controls were also included. In hepatitis patients, the mean plasma levels of total cholesterol (TC) and the high density lipoprotein (HDL)-phospholipid/phospholipid (HDLPL/PL) ratio were reduced, and HDL-cholesterol (HDLC), HDL-phospholipid (HDLPL) and the phospholipid/total cholesterol (PL/TC) ratio were normal, while total phospholipid (PL) levels and the HDLC/TC ratio were significantly increased compared to the control values. In patients with cholestatic jaundice the mean plasma total cholesterol, phospholipid and HDLC levels were elevated, and HDLPL/PL, HDLPL, HDLC/TC and PL/TC remained normal compared to the control values. A comparison within the patient groups showed that plasma TC, PL and HDLC levels were significantly increased in cholestatic jaundice when compared with the corresponding levels in hepatitis patients. The mean plasma levels of HDLPL, HDLC/TC and PL/TC did not show any significant variation within the patient groups. Alkaline phosphatase (ALP) correlated positively with TC, and total protein correlated negatively with TC and HDLPL, while albumin correlated negatively with TC, HDLC and HDLPL in cholestatic jaundice. Alanine amino-transferase (ALAT) also correlated positively with PL in cholestatic jaundice, while albumin correlated positively with TC in hepatitis. The results suggest that lipoproteins might be metabolized differently in these two forms of cholestasis.",Virus_Diseases
"Plasmodium Falciparum malaria and perinatally acquired human immunodeficiency virus type 1 infection in Kinshasa, Zaire. A prospective, longitudinal cohort study of 587 children. BACKGROUND. It is uncertain whether Plasmodium falciparum malaria is more frequent or more severe in children with perinatally acquired human immunodeficiency virus type 1 (HIV-1) infection and whether P. falciparum infection accelerates the progression of HIV-related disease. METHODS. We conducted a prospective, longitudinal cohort study in Kinshasa, Zaire. Two hundred sixty children 5 to 9 months of age who had been born to HIV-1-seropositive mothers and 327 children of the same age who had been born to seronegative mothers were monitored intensively for malaria over a 13-month period. All episodes of fever were evaluated with blood smears for malaria, and children found to be infected with P. falciparum were treated with a standard regimen of oral quinine. RESULTS. A total of 2899 fevers were evaluated, with 271 cases of malaria identified. No statistically significant differences were found in the incidence, severity, or response to therapy of malaria among four well-defined groups of children: those with the acquired immunodeficiency syndrome (AIDS), those who were HIV-1-seropositive throughout the study, those who were born to HIV-1-seropositive mothers but reverted to seronegative, and those who were seronegative throughout the study. During the 13-month period the incidence of malaria in the 36 children with HIV infection in whom AIDS developed was lower, although not significantly so, than in the 37 in whom AIDS did not. CONCLUSIONS. In this study malaria was not more frequent or more severe in children with progressive HIV-1 infection and malaria did not appear to accelerate the rate of progression of HIV-1 disease.",Virus_Diseases
"Management of aortic insufficiency in chronic aortic dissection. From January 1980 to December 1988, 44 patients with chronic aortic dissection and aortic insufficiency underwent operation. This group of patients was analyzed to evaluate the outcome of those in whom the aortic valve was preserved compared with those having valve replacement. The overall preoperative characteristics of the two groups were similar except for the incidence of Marfan's syndrome. Valve replacement was the elected procedure in patients with valve degeneration or annuloaortic ectasia. In patients with leaflet prolapse with or without an enlarged annulus, a plastic procedure was used. In 48% of the patients, it was possible to preserve the valve. There were five hospital deaths (11%): three were due to low-output syndrome, one was due to bleeding, and one was due to neurological complications. There were two late deaths (5%). Follow-up of the 37 surviving patients ranged from 2 to 108 months (mean follow-up, 18 months). Seventy-eight percent of the survivors were in functional class I and the others were in class II. Two patients in whom the aortic valve was preserved had mild aortic insufficiency. Three patients with bioprostheses underwent reoperation because of prosthetic valve dysfunction. One patient who had aortoplasty and an aortic valve plastic procedure was seen with redissection and aortic insufficiency after 60 months and was reoperated on using the Bentall technique. The actuarial survival curves showed that patients who underwent valvoplasty had higher, but not significantly higher, survival rates than the valve replacement patients.",Skin_and_Connective_Tissue_Diseases
"Immunogenicity of tetravalent rhesus rotavirus vaccine administered with buffer and oral polio vaccine. Between January and November 1989, we studied 174 infants aged 6 to 16 weeks in a randomized clinical trial to (1) determine the immunogenicity of a single dose of tetravalent rhesus rotavirus vaccine (RRV-TV) when administered with three different buffer regimens: no antacid buffer and small-volume (2.5-mL) and large-volume (30-mL) antacid buffer; and (2) examine the potential interference of RRV-TV on the immune response to oral polio vaccine. Immunogenicity of RRV-TV, measured as a fourfold rise in antibody titers to rotavirus, was similar in the groups receiving small- and large-dose buffer (45% and 49%, respectively) and significantly less in the group that received RRV-TV alone (23%). Administration of RRV-TV with oral polio vaccine did not significantly interfere with the neutralization response of oral polio vaccine poliovirus serotypes 1, 2, or 3, and overall, 29%, 87%, and 24% of the infants had a fourfold rise in titer to each serotype, respectively.",Virus_Diseases
"Determinants of genital human papillomavirus infection in young women  Carcinoma of the cervix has several well-established epidemiologic risk factors, including multiple sexual partners and early age at first intercourse. Human papillomavirus (HPV) infection appears to have an etiologic role in the development of cervical neoplasia, but evidence linking HPV infection to known risk factors for cervical cancer has been inconsistent. The lack of expected correlations may be due to the inaccuracy of HPV assays previously used. A polymerase chain reaction DNA amplification method for the detection of HPV was used to investigate the determinants of genital HPV infection in a cross-sectional sample of 467 women attending a university health service. In contrast to studies using less accurate detection methods, the risk factors for HPV infection found here were consistent with those for cervical neoplasia. The risk of HPV infection was strongly and independently associated with increasing numbers of sexual partners in a lifetime, use of oral contraceptives, younger age, and black race. Age at first intercourse, smoking, and history of a prior sexually transmitted disease were correlated with, but not independently predictive of, HPV infection. These results demonstrate that the key risk factors for cervical carcinoma are strongly associated with genital HPV infection. This correlation suggests that HPV has an etiologic role in cervical neoplasia and reaffirms the sexual route of HPV transmission.",Virus_Diseases
"Immunohistochemical and ultrastructural study of histiocytosis X and non-X histiocytoses. The diagnostic reliability of ultrastructural and immunohistochemical examinations on routinely processed biopsy specimens of cutaneous histiocytic proliferations (histiocytosis X, n = 7; juvenile xanthogranuloma, n = 4; necrobiotic xanthogranuloma, n = 2; traumatic granuloma of the tongue, n = 1) was evaluated. S-100 protein, peanut agglutinin, and the antibody Mac-387 were used as markers for histiocytes. The frequency of Birbeck granule-containing cells in seven histiocytosis X lesions did not correspond with the number of S-100+ or peanut agglutinin+ cells. All neoplastic histiocytosis X cells were positive for S-100 protein and peanut agglutinin but were negative for Mac-387. Histiocytes of juvenile xanthogranuloma, necrobiotic xanthogranuloma, and traumatic granuloma were strongly positive for Mac-387 but were negative for S-100 protein and peanut agglutinin, except for the peanut agglutinin-reactive Touton giant cells. Mac-387 reliably differentiates histiocytic proliferations of the monocyte/macrophage system from those of the dendritic cell system. For the diagnosis of histiocytosis X, both S-100 protein and peanut agglutinin positivity in histiocytes is as reliable as ultrastructural demonstration of Birbeck granules.",Skin_and_Connective_Tissue_Diseases
"Cytokines in chronic inflammatory arthritis. VI. Analysis of the synovial cells involved in granulocyte-macrophage colony-stimulating factor production and gene expression in rheumatoid arthritis and its regulation by IL-1 and tumor necrosis factor-alpha. Granulocyte-macrophage CSF (GM-CSF) is a potent stimulator of macrophages and neutrophils and is produced by rheumatoid arthritis (RA) synovium. We now report studies that identify some of the synovial cells and cytokines responsible for local GM-CSF production and gene expression in RA. GM-CSF was assayed by ELISA in supernatants from cultured RA fibroblast-like synoviocytes stimulated with various cytokines (IL-1 beta, TNF-alpha, macrophage-CSF, IFN-gamma, IL-6, and TGF-beta). Immunoreactive GM-CSF was detected in IL-1 beta and TNF-alpha-stimulated cultures, but not in cells cultured in medium or stimulated with any of the other cytokines. IL-1 and TNF-alpha had a synergistic effect on GM-CSF production. GM-CSF gene expression by fibroblast-like synoviocytes was analyzed by ribonuclease protection assay, Northern blot analysis, and in situ hybridization. Both IL-1 beta and TNF-alpha induced GM-CSF mRNA accumulation, with a maximum effect after 4 h of stimulation. We then studied GM-CSF production by macrophage-like synoviocytes (MLS) isolated from fresh synovial specimens by flow microfluorimetry. Fresh MLS spontaneously secreted the cytokine and exogenous IL-1 beta or TNF-alpha had no effect. After 1 wk in culture, additional stimulation with IL-1 beta or TNF-alpha was required for GM-CSF production. Finally, in situ hybridization performed on freshly isolated subpopulations of synovial cells, identified GM-CSF RNA transcripts in MLS.",Skin_and_Connective_Tissue_Diseases
"Field evaluation of alternative HIV testing strategy with a rapid immunobinding assay and an agglutination assay. A rapid immunobinding assay ('HIVCHEK', Ortho) and an agglutination assay ('Serodia-HIV', Fujirebio) were evaluated as an alternative to enzyme-linked immunosorbent assay (ELISA) and western blot under field conditions in Africa for detection of antibody to human immunodeficiency virus (HIV). 7106 specimens were tested at 25 laboratories in Kenya, Ghana, Senegal, and Zaire. HIVCHEK was used as a screening test, and serodia-HIV as a supplemental test to evaluate these assays in an alternative testing strategy to the standard ELISA/western blot testing procedure. In each country, HIVCHEK was more sensitive and specific than ELISA when compared with western blot. The sensitivity of HIVCHEK ranged from 87.0 to 96.3% and the specificity from 99.0 to 100%. The sensitivity and specificity of serodia-HIV ranged from 85 to 98% and from 88 to 98%, respectively. The sensitivity and specificity were affected by the presence of HIV-2 in Ghana and Senegal. Overall, with an HIV-1 prevalence of 14.8% in Kenya and 22.5% in Zaire, the sensitivities of the alternative strategy were 96.4% and 91.4%, the specificities 99.6% and 100%, the positive predictive values 97.6% and 100%, and the negative predictive values 99.3% and 97.9% for Kenya and Zaire, respectively. With this testing format there was an estimated average cost saving of up to 82% over the conventional strategy with ELISA/western blot. This procedure constitutes a reasonable alternative to the standard ELISA/western blot combination.",Virus_Diseases
"Unfading acral microlivedo. A discrete marker of thrombotic skin disease associated with antiphospholipid antibody syndrome. Small erythematous or cyanotic lesions on the hands and feet of four patients with antiphospholipid antibodies are described. These discrete lesions outline capillaries and do not disappear when pressure is applied. The histologic features are identical to those described in skin thrombotic syndrome associated with antiphospholipid antibodies, that is, microthrombi in dermal vessels without inflammation. In addition to indicating antiphospholipid antibodies in apparently healthy patients, this sign could be a marker of risk for large-vessel thrombosis.",Skin_and_Connective_Tissue_Diseases
"A pilot study of low-dose zidovudine in human immunodeficiency virus infection  BACKGROUND. Zidovudine delays the progression of human immunodeficiency virus (HIV) infection but is associated with hematologic toxicity at high doses. Regimens are needed that preserve or enhance efficacy and reduce toxicity. Acyclovir has been reported to potentiate the effect of zidovudine on HIV in vitro. METHODS. We conducted a Phase II open-label, dose-escalating trial to evaluate the clinical and antiviral effects of zidovudine at low (300 mg daily, 28 subjects), medium (600 mg, 24 subjects), and high (1500 mg, 15 subjects) doses, either with or without acyclovir (4.8 g) by random assignment. The subjects had the acquired immunodeficiency syndrome (AIDS)-related complex, but not AIDS. All of them had either HIV p24 antigenemia or plasma viremia and CD4-lymphocyte counts of 200 to 500 per cubic millimeter when they began treatment. RESULTS. Performance scores and fatigue improved the most in the low- and medium-dose zidovudine groups (both P less than or equal to 0.025). Those assigned to low-dose zidovudine gained the most weight and had the greatest improvement in the mean CD4-lymphocyte count (from 321 per cubic millimeter at base line to 412 per cubic millimeter after 12 weeks, P = 0.01). The proportion of subjects in whom HIV antigenemia resolved, the decrease in the level of antigenemia, and the reduction in the plasma virus titers were similar at all three doses. Subjects assigned to receive the low or medium dose who subsequently crossed over to the 1500-mg dose (n = 19) did not have an increase in CD4-cell counts or a decline in levels of HIV antigen, but they did have dose-related toxicity. The addition of acyclovir to zidovudine was well tolerated, but it did not enhance any of zidovudine's antiretroviral effects. CONCLUSIONS. In this pilot study a very low dose of zidovudine (300 mg) had clinical and virologic effects similar to those of higher daily doses (600 and 1500 mg). The minimal effective dose of zidovudine for the treatment of HIV infection has yet to be determined, and further studies of very low daily doses are warranted.",Virus_Diseases
"Tryptophan-induced eosinophilia-myalgia syndrome  Eight patients who became ill while taking tryptophan had myalgia, fatigue, rash, fever, edema, alopecia, arthralgias, diminished joint motion, skin tightening, muscle cramping, and distal paresthesias. Three had shortness of breath, and one had pulmonary hypertension. Laboratory abnormalities included peripheral eosinophilia, leukocytosis, thrombocytosis, raised erythrocyte sedimentation rate, and elevated serum levels of aldolase, lactate dehydrogenase, and liver enzymes. Of 4 chest radiographs, 3 were abnormal. Of 5 skin and muscle biopsies, 4 showed sclerosis or mixed inflammatory cell infiltration of the dermis, subcutis, and fascia. Eosinophils were often present, but vasculitis was absent. Muscle inflammation was minimal. We conclude that the ""eosinophilia-myalgia syndrome"" is related to the ingestion of tryptophan and that abnormalities in the secretion of lymphokines may be important in its pathogenesis.",Skin_and_Connective_Tissue_Diseases
"Porokeratosis arising in a burn scar. A histologically verified porokeratosis arose in a burn scar on the back of a 47-year-old man. This phenomenon has not been previously reported. We discuss the literature on porokeratosis, the relation between epidermal and dermal injury, and the genesis of this lesion.",Skin_and_Connective_Tissue_Diseases
"Cytomegalovirus infection in sexually active adolescents. To determine whether cytomegalovirus (CMV) infection in teenage girls is related to sexual activity, 254 girls 12-18 years old (mean, 15.8) attending a contraceptive counseling clinic were studied. Participants were screened for Chlamydia trachomatis, Neisseria gonorrhoeae, and Trichomonas vaginalis, and serum antibody to CMV was determined. Demographic and sexual history data were collected by interview. The mean number of lifetime sex partners was 2.2; 173 (68%) were seropositive. Race, greater than 3 years of sexual activity, and greater than 2 lifetime sex partners were significant risk factors for CMV infection (odds ratios [OR], 1.8-4.7; P less than .05). Using logistic regression analysis, a composite sexual activity variable was the most important risk factor for CMV infection (OR, 4.8; P = .003), followed by race (OR, 3.4; P = .004) and a sexually transmitted disease composite variable (OR, 2.4; P = .016). Sexual activity is an important risk factor for CMV infection in adolescent girls.",Virus_Diseases
"Response of discoid and subacute cutaneous lupus erythematosus to recombinant interferon alpha 2a. Ten patients suffering from discoid lupus erythematosus (DLE) or subacute cutaneous lupus erythematosus (SCLE) were treated with interferon alpha 2a. A marked improvement or clearing of cutaneous lupus erythematosus lesions was observed in eight of them. However, the response to interferon was of short duration and within a few weeks after interferon withdrawal all patients who were improved or cleared relapsed. This study suggests that interferon alpha 2a represents a new interesting approach in the treatment of DLE and SCLE. Ongoing trials will define the optimal treatment schedule for the maintenance of interferon-induced improvement of cutaneous lupus erythematosus.",Skin_and_Connective_Tissue_Diseases
"Signs of cognitive change in HIV disease: an event-related brain potential study. We recorded event-related brain potentials (ERPs) from 2 groups of human immunodeficiency virus (HIV)-positive men with no physical illness or neurologic involvement: 9 asymptomatic (AS+) and 9 classified as having either acquired immunodeficiency syndrome (AIDS; 7) or AIDS-related complex (ARC; 2). In separate choice reaction time tasks, the subjects pressed buttons to randomly presented auditory or visual stimuli at probabilities of either 20/80 or 50/50. There were no group differences on any of the neuropsychological tests commonly used in screening batteries for HIV patients. In contrast, reduced P300 amplitudes and increased P300 latencies occurred in ARC/AIDS patients in response to both auditory and visual stimuli, while in AS+ patients such alterations occurred only in the visual modality. Significant delays in P2 latency were found only in the auditory modality and then only in ARC/AIDS patients. ARC/AIDS patients alone showed delayed response times, and only in the auditory modality. The P300 results demonstrate alterations in stimulus evaluation and processing speed in the earliest stages of HIV disease, even before cognitive deficits can be detected by more traditional measures.",Virus_Diseases
"End-stage renal disease--is infrainguinal limb revascularization justified? Reports of reconstructive surgery for peripheral vascular disease have been relatively uncommon in patients with end-stage renal disease. Between 1980 and 1989, 39 patients with end-stage renal disease underwent revascularization of 56 limbs. Fifty-two primary infrainguinal and four secondary infrainguinal bypass grafts were performed. In addition, nine thrombectomies were performed. At the time of surgery 37 patients were on dialysis; three had functioning kidney transplants. The indications for revascularization were gangrene, rest pain, or ulceration in all except three limbs with disabling claudication. Reversed, nonreversed, or in situ vein was used in 25 of the 52 primary infrainguinal revascularizations performed. Polytetrafluoroethylene was used in 25. Two procedures used a combination of polytetrafluoroethylene and vein. The primary patencies for all infrainguinal procedures at 1 and 2 years were 77% and 68%, respectively. Four perioperative deaths occurred in the infrainguinal group (7.7%). An additional death occurred after thrombectomy for late graft closure. Three deaths were a result of myocardial infarction. One patient on peritoneal dialysis developed uncontrolled sepsis. At 3 years 39% of patients were alive, and 84% of the limbs were salvaged. Among the cases studied no group was identified that represented unacceptable operative risk. Results compared well with reported patencies for patients subjected to infrainguinal revascularization procedures. Limb revascularization in patients with end-stage renal disease may be performed by use of similar criteria to those used for other patients with peripheral vascular disease.",Skin_and_Connective_Tissue_Diseases
"Should family physicians test for human papillomavirus infection? An opposing view. Recent advances in the field of molecular biology have expanded the knowledge of HPV manifestations. We have attempted to separate those circumstances when HPV testing may be useful in patient management and when it may not. Routine screening for HPV has not yet been shown to be useful. One must weigh informing 10% of patients that they have a potentially oncogenic virus against the ability of a repeat Papanicolaou smear to detect the lesion. On the other hand, HPV detection in the setting of an abnormal Papanicolaou smear and an acetowhite lesion that on biopsy lacks the histologic features of CIL does predict who is at high risk for CIL. HPV typing should not affect clinical management, and we do not recommend it. HPV detection by in situ hybridization is a very useful adjunct to histological analysis in genital tract lesions that are clinically suggestive of an HPV lesion but where the histological analysis is equivocal. This ability to distinguish true HPV lesions from its mimics is often crucial to the patient, given the implications of having a sexually transmitted disease.",Virus_Diseases
"Detection of the interferon-gamma-induced protein 10 in psoriasiform dermatitis of acquired immunodeficiency syndrome. Interferon-gamma-induced protein 10 is a 10-kd protein produced by human keratinocytes following an exposure to interferon gamma. Keratinocytes within psoriatic plaques and within delayed-type hypersensitivity reactions have been shown to stain strongly with an affinity-purified rabbit antibody prepared against interferon-gamma-induced protein 10, suggesting a possible role for interferon gamma in the production of the lesions. A psoriasiform eruption has been seen in patients with acquired immunodeficiency syndrome (AIDS). Its severity appears to correlate with the degree of immunodeficiency in the early stages of AIDS. We stained 10 lesions of psoriasiform dermatitis of AIDS with the anti-interferon-gamma-induced protein 10 antibody using immunoperoxidase techniques. As controls, we studied 10 lesions of non-AIDS psoriasis, six lesions of seborrheic dermatitis with psoriasiform hyperplasia, one lesion of lichen simplex chronicus, and four biopsy specimens of normal skin from patients with AIDS. In addition, normal skin specimens taken from patients with AIDS and human immunodeficiency virus-negative patients at time of autopsy were examined. An identical, strong and diffuse staining pattern was seen in all cases of psoriasiform dermatitis of AIDS, non-AIDS psoriasis, seborrheic dermatitis, and lichen simplex chronicus. The specimens of normal skin showed only weak basal layer staining with anti-interferon-gamma-induced protein 10. Thus, the presence of interferon-gamma-induced protein 10 in keratinocytes was associated with psoriasiform hyperplasia and could be detected in both AIDS-associated and classic psoriasis.",Skin_and_Connective_Tissue_Diseases
