date,length,age,maturity.words,maturity,stage
8/6/2002,45,11,Mature,1,6
7/1/2003,45,14,Mature,1,3
5/10/2000,45,15,Mature,1,5
7/12/2000,45,19,Mature,1,6
9/29/2003,45,20,Mature,1,6
5/10/2000,46,9,Mature,1,4
5/10/2000,46,13,Mature,1,4
8/23/2003,46,14,Mature,1,7
10/27/2003,46,14,Mature,1,7
5/10/2000,46,14,Mature,1,4
10/2/2003,46,15,Mature,1,2
5/10/2000,46,15,Mature,1,4
5/10/2000,46,16,Mature,1,2
8/18/2002,46,17,Mature,1,6
5/4/2003,46,18,Mature,1,3
10/6/2002,46,18,Mature,1,2
8/25/2002,46,19,Mature,1,1
8/12/2002,46,19,Mature,1,6
6/3/2002,46,20,Mature,1,2
6/9/2003,46,21,Mature,1,2
5/4/2003,46,22,Mature,1,6
5/27/2002,46,22,Mature,1,4
5/27/2002,46,23,Mature,1,2
6/10/2004,46,28,Mature,1,6
10/6/2003,47,14,Mature,1,7
7/25/2000,47,15,Mature,1,6
5/21/2001,47,16,Mature,1,6
5/13/2008,47,18,Immature,0,2
10/7/2002,47,18,Mature,1,6
8/5/2002,47,18,Mature,1,6
8/3/2002,47,26,Mature,1,N/A
8/19/2002,47,28,Mature,1,6
5/21/2001,47,31,Mature,1,4
7/18/2000,48,14,Mature,1,6
10/25/2003,48,15,Mature,1,7
7/26/2003,48,16,Mature,1,4
6/21/2002,48,16,Mature,1,6
10/3/2003,48,17,Mature,1,6
6/16/2002,48,23,Mature,1,6
5/4/2000,48,23,Mature,1,5
10/7/2002,48,26,Mature,1,6
5/4/2000,48,27,Mature,1,5
9/8/2002,49,13,Mature,1,1
10/7/2002,49,15,Immature,0,1
9/7/2003,49,17,Mature,1,7
6/16/2003,49,18,Mature,1,6
8/6/2002,49,18,Mature,1,6
10/7/2002,49,18,Mature,1,7
5/4/2003,49,30,Mature,1,7
4/28/2003,50,11,Mature,1,4
8/8/2002,50,16,Mature,1,NA
5/27/2002,50,20,Mature,1,4
8/26/2003,51,21,Mature,1,7
10/7/2002,51,25,Mature,1,1
10/7/2002,51,28,Mature,1,6
5/21/2001,52,13,Mature,1,6
10/7/2002,52,30,Mature,1,6
6/16/2002,52,30,Mature,1,6
6/3/2002,52,31,Mature,1,2
6/10/2004,52,31,Mature,1,6
5/4/2000,53,26,Mature,1,5
10/4/2003,53,28,Mature,1,7
6/10/2004,53,28,Mature,1,6
5/4/2000,53,29,Mature,1,5
10/7/2002,53,30,Mature,1,6
8/5/2002,54,20,Mature,1,6
6/16/2002,54,42,Mature,1,3
9/1/2002,56,44,Mature,1,6
7/5/2003,57,18,Mature,1,7
5/3/2003,57,19,Mature,1,3
8/18/2002,57,32,Mature,1,6
7/28/2002,57,70,Mature,1,6
6/13/2003,58,32,Mature,1,4
8/6/2002,58,39,Mature,1,6
8/26/2003,60,28,Mature,1,5
10/6/2003,60,28,Mature,1,7
7/26/2002,60,33,Mature,1,6
5/18/2001,61,42,Mature,1,4
8/8/2000,61,89,Mature,1,6
4/23/2001,62,61,Mature,1,6
8/14/2003,64,42,Mature,1,7
8/9/2002,65,54,Mature,1,6
10/7/2002,65,94,Mature,1,6
8/18/2002,67,50,Mature,1,6
10/7/2002,68,88,Mature,1,6
4/23/2001,70,66,Mature,1,4
